Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime
YS|BIG2|19.079|-155.772995|582.0|Bouganvilla B&B, Oceanview, Hawaii|2004-08-20T00:00:00|2007-06-04T00:00:00
YS|BYUH|21.646|-157.931|23.0|Brigham Young University, Laie, Oahu|2004-10-28T00:00:00|2006-09-17T00:00:00
YS|CCHM|20.771|-155.996994|60.0|Council Carrol's house, Hana, Maui|2004-08-27T00:00:00|2007-06-10T00:00:00
YS|DLAH|19.601|-154.983002|52.0|Ruth Mizuba's house, Pahoa, Hawaii|2004-08-29T00:00:00|2007-10-18T00:00:00
YS|HPAH|20.046|-155.710999|775.0|Hawaiian Prep Acadamy, Waimea, Hawaii|2004-08-31T00:00:00|2007-12-31T23:59:59
YS|KCCH|21.971001|-159.401001|128.0|Kauai Community College, Lihue, Kauai|2004-10-26T00:00:00|2007-06-06T00:00:00
YS|LHSM|20.891001|-156.658005|204.0|Lahainaluna High School, Lahaina, Maui|2004-08-26T00:00:00|2007-06-09T00:00:00
YS|MRKH|21.108999|-157.270004|143.0|Molokai Ranch, Kapau, Molokai|2004-10-30T00:00:00|2007-12-31T23:59:59
YS|NGOK|22.122999|-159.664993|1157.0|NASA Geophysical Observatory Kokee, Kauai|2004-10-25T00:00:00|2007-06-07T00:00:00
YS|PHRM|21.136|-156.755997|407.0|Puu O Hoku Ranch, Molokai|2004-11-02T00:00:00|2007-05-25T00:00:00
YS|PL01|20.0889|-154.617798|-5580.0|WHOI OBS ID S08|2005-01-05T00:00:00|2006-01-15T23:59:59
YS|PL02|20.499901|-154.9375|-5065.0|WHOI OBS ID S19|2005-01-06T00:00:00|2006-01-15T23:59:59
YS|PL03|21.2055|-155.679398|-5144.0|WHOI OBS ID S31|2005-01-06T00:00:00|2006-01-17T23:59:59
YS|PL04|22.289801|-155.595093|-4515.0|Site_04|2005-01-09T00:00:00|2006-01-09T23:59:59
YS|PL05|21.507|-154.9944|-5196.0|WHOI OBS ID S39|2005-01-07T00:00:00|2006-01-14T23:59:59
YS|PL06|21.0019|-154.482803|-5373.0|Site_06|2005-01-09T00:00:00|2006-01-09T23:59:59
YS|PL07|21.519699|-153.982697|-4912.0|WHOI OBS ID S13|2005-01-08T00:00:00|2006-01-15T23:59:59
YS|PL08|20.892599|-153.292099|-5157.0|WHOI OBS ID S28|2005-01-08T00:00:00|2006-01-15T23:59:59
YS|PL10|19.979099|-153.902405|-5336.0|WHOI OBS ID S30|2005-01-09T00:00:00|2006-01-15T23:59:59
YS|PL11|19.495199|-153.503204|-5181.0|WHOI OBS ID S33|2005-01-08T00:00:00|2006-01-17T23:59:59
YS|PL12|19.5063|-154.017105|-5385.0|Site_12|2005-01-11T00:00:00|2006-01-13T23:59:59
YS|PL13|19.262501|-154.393997|-5515.0|WHOI OBS ID S06|2005-01-11T00:00:00|2006-01-18T23:59:59
YS|PL14|18.7976|-153.992294|-5252.0|WHOI OBS ID S34|2005-01-11T00:00:00|2006-01-18T23:59:59
YS|PL15|18.8009|-153.295898|-5077.0|WHOI OBS ID S23|2005-01-12T00:00:00|2006-01-17T23:59:59
YS|PL17|18.4814|-152.132401|-5184.0|WHOS OBS ID S11|2005-01-11T00:00:00|2006-01-19T23:59:59
YS|PL18|17.9062|-153.290604|-4938.0|WHOI OBS ID S37|2005-01-12T00:00:00|2006-01-20T23:59:59
YS|PL19|16.711901|-153.407806|-5163.0|Site_19|2005-01-16T00:00:00|2006-01-17T23:59:59
YS|PL20|17.297501|-153.700806|-5120.0|WHOI OBS ID S38|2005-01-15T00:00:00|2006-01-21T23:59:59
YS|PL21|17.180099|-154.691299|-4993.0|Site_21|2005-01-17T00:00:00|2006-01-17T23:59:59
YS|PL22|17.9884|-154.030502|-5057.0|WHOI OBSIP ID S05|2005-01-15T00:00:00|2006-01-19T23:59:59
YS|PL23|18.401699|-154.495895|-5167.0|WHOI OBS ID S14|2005-01-14T00:00:00|2006-01-23T23:59:59
YS|PL24|18.803101|-154.797394|-5319.0|WHOI OBS ID S01|2005-01-14T00:00:00|2006-01-22T23:59:59
YS|PL26|17.9757|-155.002594|-4997.0|WHOI OBS ID S42|2005-01-16T00:00:00|2005-07-02T23:59:59
YS|PL27|18.000299|-155.714996|-5099.0|WHOI OBS ID S03|2005-01-16T00:00:00|2006-01-22T23:59:59
YS|PL28|17.6028|-156.499802|-4792.0|Site_28|2005-01-18T00:00:00|2006-01-19T23:59:59
YS|PL29|18.4042|-156.808197|-4627.0|WHOI OBS ID S40|2005-01-17T00:00:00|2006-01-24T23:59:59
YS|PL30|18.301001|-156.167007|-5091.0|WHOI OBS ID S20|2005-01-18T00:00:00|2006-01-24T23:59:59
YS|PL31|18.775|-156.465103|-4610.0|WHOI OBS ID S48|2005-01-18T00:00:00|2006-01-24T23:59:59
YS|PL32|18.9848|-157.227295|-4604.0|Site_32|2005-01-19T00:00:00|2006-01-20T23:59:59
YS|PL33|19.477699|-156.510101|-4707.0|WHOI OBS ID S46|2005-01-19T00:00:00|2006-01-24T23:59:59
YS|PL34|19.832701|-156.932007|-4748.0|WHOI OBS ID S10|2005-01-19T00:00:00|2006-01-24T23:59:59
