#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
2A|28|-15.6994|-117.000801|-3390.0|LDEO OBS 28|2001-12-01T00:00:00|2001-12-16T23:59:59
2A|29|-15.2803|-116.370003|-3352.1|LDEO OBS 29|2001-12-01T00:00:00|2002-11-23T23:59:59
2A|30|-14.3692|-116.1567|-2633.0|LDEO OBS 30|2001-12-03T00:00:00|2002-11-21T23:59:59
2A|32|-12.9996|-115.8554|-3119.0|LDEO OBS 32|2001-12-04T00:00:00|2002-11-13T23:59:59
2A|34|-11.7336|-117.275101|-3578.0|LDEO OBS 34|2001-12-05T00:00:00|2002-11-14T23:59:59
2A|36|-12.4828|-116.633598|-3556.0|LDEO OBS 36|2001-12-06T00:00:00|2002-11-14T23:59:59
2A|38|-13.8003|-115.120399|-3413.0|LDEO OBS 38|2001-12-09T00:00:00|2002-11-24T23:59:59
2A|39|-12.37|-114.524902|-3397.0|LDEO OBS 39|2001-12-13T00:00:00|2002-06-20T23:59:59
2A|41|-14.4508|-114.949699|-2294.0|LDEO OBS 41|2001-12-16T00:00:00|2002-02-28T23:59:59
2A|42|-15.41|-115.203499|-3382.0|LDEO OBS 42|2001-12-16T00:00:00|2002-11-25T23:59:59
2A|43|-15.5517|-114.799797|-3202.0|LDEO OBS 43|2001-12-17T00:00:00|2002-11-18T23:59:59
2A|44|-16.002001|-115.2491|-3297.0|LDEO OBS 44|2001-12-17T00:00:00|2002-11-25T23:59:59
2A|46|-14.85|-118.3703|-3666.0|LDEO OBS 46|2002-03-14T00:00:00|2002-11-16T23:59:59
2A|47|-15.2121|-117.600601|-3605.0|LDEO OBS 47|2001-12-19T00:00:00|2002-11-20T23:59:59
2A|48|-13.1701|-117.201202|-3318.0|LDEO OBS 48|2002-02-01T00:00:00|2002-11-17T23:59:59
2A|49|-12.7201|-117.991798|-3714.0|LDEO OBS 49|2001-12-19T00:00:00|2002-11-14T23:59:59
2A|50|-13.7495|-117.901604|-3540.0|LDEO OBS 50|2001-12-20T00:00:00|2002-11-17T23:59:59
2A|52|-14.9995|-115.8004|-3414.0|LDEO OBS 52|2001-12-21T00:00:00|2002-11-22T23:59:59
7B|MM01|-33.4654|-152.90107|-5207.0|SIO OBS ID MM01|2019-11-17T00:00:00|2020-09-27T23:59:59
7B|MM02|-33.70244|-153.33875|-5174.0|SIO OBS ID MM02|2019-11-17T00:00:00|2020-11-21T23:59:59
7B|MM03|-33.91045|-153.79235|-5189.0|SIO OBS ID MM03|2019-11-17T00:00:00|2020-11-22T23:59:59
7B|MM04|-34.0909|-154.12547|-5135.0|SIO OBS ID MM04|2019-11-18T00:00:00|2020-11-22T23:59:59
7B|MM05|-34.2402|-154.48355|-5092.0|SIO OBS ID MM05|2019-11-20T00:00:00|2020-10-14T23:59:59
7B|MM06|-34.39699|-154.84026|-5204.0|SIO OBS ID MM06|2019-11-19T00:00:00|2020-11-26T23:59:59
7B|MM07|-34.57402|-155.17951|-5357.0|SIO OBS ID MM07|2019-11-25T00:00:00|2020-11-26T23:59:59
7B|MM08|-34.7401|-155.52572|-5474.0|SIO OBS ID MM08|2019-11-26T00:00:00|2020-11-28T23:59:59
7B|MM09|-34.91388|-155.87085|-5313.0|SIO OBS ID MM09|2019-11-26T00:00:00|2020-11-28T23:59:59
7B|MM10|-35.06894|-156.23219|-5425.0|SIO OBS ID MM10|2019-11-27T00:00:00|2020-11-28T23:59:59
7B|MM11|-35.27865|-156.69467|-5395.0|SIO OBS ID MM11|2019-11-27T00:00:00|2020-11-28T23:59:59
7B|MM12|-35.50344|-157.16479|-5331.0|SIO OBS ID MM12|2019-11-27T00:00:00|2020-11-02T23:59:59
7B|NM01|-32.71468|-154.00083|-5212.0|SIO OBS ID NM01|2019-11-16T00:00:00|2020-10-06T23:59:59
7B|NM02|-33.27447|-154.72647|-5033.0|SIO OBS ID NM02|2019-11-18T00:00:00|2020-11-20T23:59:59
7B|NM03|-33.51357|-155.67388|-5060.0|SIO OBS ID NM03|2019-11-18T00:00:00|2020-11-27T23:59:59
