        Hotspots  SGLO  SAV  S20  S40  SEM  S362  SEISG  GLAD  Total LAT LON REF
            Afar     1    1    1    1    1     0      1     1      7 8  39  Jackson
Amsterdam/StPaul     1    0    1    1    1     1      0     1      6 -37.8 77.6 JacksonDetal2020
       Ascension     1    0    1    0    1     0      1     1      5 -8 34 Courtillot2003EPSL
          Azores     1    0    1    0    1     1      1     0      5 39 -28 Courtillot2003EPSL
  Baja/Guadalupe     0    0    0    0    0     0      1     1      1 27 -113 Courtillot2003EPSL
         Balleny     0    0    0    0    1     0      0     0      1 -67 163 Courtillot2003EPSL
         Bermuda     0    0    0    0    0     0      0     0      0 33 -67 Courtillot2003EPSL
          Bouvet     0    0    0    0    0     1      0     0      1 -54 2 Courtillot2003EPSL
           Bowie     1    0    0    1    0     0      1     1      4 53 -135 Courtillot2003EPSL
        Cameroon     0    0    1    0    0     0      0     0      1 4 9 Courtillot2003EPSL
          Canary     1    1    1    1    1     1      0     1      7 28 -20 Courtillot2003EPSL
       CapeVerde     1    1    1    1    1     1      1     1      8 14 -20 Courtillot2003EPSL
        Caroline     1    0    1    1    1     1      1     1      7 5 164 Courtillot2003EPSL
         Comores     0    0    0    0    0     0      0     0      0 -12 43 Courtillot2003EPSL
Crozet/Pr.Edward     1    1    1    1    1     1      1     1      8 -45 50 Courtillot2003EPSL
          Darfur     1    0    0    1    0     0      1     0      3 13 24 Courtillot2003EPSL
       Discovery     1    0    0    0    0     1      0     0      2 -42 0 Courtillot2003EPSL
     EastAfrica     1    1    1    1    1     1      1     1      8 10  43  Courtillot2003EPSL
  EastAustralia     0    0    0    0    0     0      0     0      0 -38 143 Courtillot2003EPSL
          Easter     1    1    1    1    1     0      1     1      7 -27 -110 Courtillot2003EPSL
           Eifel     0    0    0    0    0     0      0     0      0 50 7 Courtillot2003EPSL
        Fernando     0    0    1    0    0     0      0     0      1 -4 -32 Courtillot2003EPSL
       Galapagos     1    0    0    0    0     0      0     0      1 0 -92 Courtillot2003EPSL
     GreatMeteor     1    0    1    0    0     1      1     0      4 28 -32 Courtillot2003EPSL
          Hawaii     1    1    1    1    1     0      1     1      7 20 -156 Courtillot2003EPSL
          Hoggar     0    0    0    0    0     0      0     0      0 23 6 Courtillot2003EPSL
         Iceland     1    1    1    1    1     1      1     1      8 65  -20 Courtillot2003EPSL
       JanMayen     1    0    0    1    1     1      1     1      6 71 -8 Courtillot2003EPSL
 JuandeFuca/Cobb     1    0    0    1    1     0      1     1      5 46 -130 Courtillot2003EPSL
   JuanFernandez     0    0    0    0    0     0      0     1      1 -34 -83 Courtillot2003EPSL
Kerguelen(Heard)     0    1    0    1    1     1      1     1      6 -49 69 Courtillot2003EPSL
        LordHowe     0    0    0    0    0     0      0     0      0 -33 159 Courtillot2003EPSL
      Louisville     1    0    1    0    1     0      0     0      3  -51 -141 Courtillot2003EPSL
       Macdonald     1    0    1    1    1     0      1     1      6 -30 -140 Courtillot2003EPSL
          Marion     0    0    1    0    1     1      0     0      3 -47 38 Courtillot2003EPSL
       Marqueses     0    0    1    1    1     1      1     1      6 -10 -138 Courtillot2003EPSL
 Martin/Trindade     0    0    0    0    0     0      0     0      0 -20 -29 Courtillot2003EPSL
        Pitcairn     1    1    1    1    1     1      1     1      8 -26 -130 Courtillot2003EPSL
           Raton     0    0    0    0    0     0      0     0      0 37 -104 Courtillot2003EPSL
         Reunion     1    0    1    1    1     1      0     1      6 -21 56 Courtillot2003EPSL
           Samoa     1    1    1    1    1     1      1     1      8 -14 -170 Courtillot2003EPSL
        SanFelix     0    0    0    0    0     0      0     0      0 -26 -80 Courtillot2003EPSL
        StHelena     0    0    0    0    0     1      0     1      0 -17 -20 Courtillot2003EPSL
         Socorro     0    0    0    0    0     0      0     0      0 19 -111 Courtillot2003EPSL
  Tahiti/Society     1    1    1    1    1     1      1     1      8 -18 -150 Courtillot2003EPSL
        Tasmanid     0    0    0    0    0     0      1     0      0 -39 156 Courtillot2003EPSL
         Tibesti     0    0    0    0    0     0      0     0      0  21 17 Courtillot2003EPSL
         Tristan     0    0    0    0    1     0      0     0      0 -37 -12 Courtillot2003EPSL
            Vema     0    0    0    0    0     0      0     0      0 -33 4 Courtillot2003EPSL
     Yellowstone     1    0    0    0    0     0      0     0      1 44 -111 Courtillot2003EPSL
